day,dose,mouse_weight
1,0,20.6243119708305
2,0,20.409352738856743
3,0,20.30971058460369
4,0,20.69801902499849
5,0,20.894824987440767
6,0,21.074815579279953
7,0,20.890644216538714
8,0,20.808605459373116
9,0,21.42295198236075
10,0,20.601958539798026
11,0,21.25545714806871
12,0,20.512287479718083
13,0,21.32374941160873
14,0,21.22591008859789
15,0,21.771918740593147
16,0,21.54064221209037
17,0,21.169671191335652
18,0,21.834770513277657
19,0,21.72302385731145
20,0,21.631116709156924
21,0,21.727057842074483
22,0,21.292234233710555
23,0,22.32220006921226
24,0,22.652567171414994
25,0,21.737257970899734
26,5,22.127724923553483
27,5,22.39779573369664
28,5,21.688422922946987
29,5,21.943454037504985
30,5,21.827181767675093
31,5,22.682182649257378
32,5,22.672776712930514
33,5,22.63422565701067
34,5,22.891044311995028
35,5,22.767223720280715
36,5,23.105249813511023
37,5,23.029510601636645
38,5,23.188886862485344
39,5,22.685011580436264
40,5,22.75911315496158
41,5,23.271365358350486
42,5,24.042072904972038
43,5,23.739568674200132
44,5,23.203891374006517
45,5,23.20960643390305
46,5,23.974194687427683
47,5,23.586571100043844
48,5,23.537978046836198
49,5,23.54935016710752
50,5,24.21339253139478
51,10,24.117332132560172
52,10,24.323373269588657
53,10,23.482181850273808
54,10,24.233963327941282
55,10,24.11831443787222
56,10,24.469713604648067
57,10,25.132362261743722
58,10,24.701330825062097
59,10,24.049088784415535
60,10,24.800678658702903
61,10,24.91011271383794
62,10,25.72729777955883
63,10,24.935923104259768
64,10,25.419647743222114
65,10,24.98473623569826
66,10,25.756947790840073
67,10,25.018427470880617
68,10,25.569276739861674
69,10,25.98286625245541
70,10,25.9115827291147
71,10,25.031080820418122
72,10,25.906895558592993
73,10,25.83808211543766
74,10,25.68386793797132
75,10,25.88549876249271
76,20,26.089505543108633
77,20,26.716448260295536
78,20,25.8417272178929
79,20,25.942277207280405
80,20,26.837814821118812
81,20,26.515772540684807
82,20,27.057091240143585
83,20,26.300560222184526
84,20,26.636493487517576
85,20,26.410458008273483
86,20,27.765034516504656
87,20,27.25985183402138
88,20,27.211042116765817
89,20,27.38254118283206
90,20,27.55817979105098
91,20,27.218638878002032
92,20,27.502221615404576
93,20,28.098457138116828
94,20,27.50905175415347
95,20,28.1868480888051
96,20,27.97499451354804
97,20,27.52235091729718
98,20,28.16089161452251
99,20,27.71429004205844
100,20,27.508259922998533
